simp,pinyin,meaning,picture,simp_right,pinyin_right,meaning_right,picture_right
中,zhong4,to hit (the mark); to be hit by; to suffer; to win (a prize，a lottery),,,,,
叫,jiao4,variant of 叫[jiao4],,,,,
该,gai1,should; ought to; probably; must be; to deserve; to owe; to be sbs turn to do sth; that; the above-mentioned,,,,,
更,geng4,more; even more; further; still; still more,,,,,
开始,kai1 shi3,to begin; beginning; to start; initial; CL:個|个[ge4],,,,,
打,da3,to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from,,,,,
年,nian2,grain; harvest (old); variant of 年[nian2],,,,,
见,xian4,to appear; also written 現|现[xian4],,,,,
事情,shi4 qing5,affair; matter; thing; business; CL:件[jian4]樁|桩[zhuang1],,,,,
开,kai1,to open; to start; to turn on; to boil; to write out (a prescription，check，invoice etc); to operate (a vehicle); carat (gold); abbr. for Kelvin，開爾文|开尔文[Kai1 er3 wen2]; abbr. for 開本|开本[kai1 ben3]，book format,,,,,
前,qian2,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,,,,,
时,shi2,oclock; time; when; hour; season; period,,,,,
发生,fa1 sheng1,to happen; to occur; to take place; to break out,,,,,
准备,zhun3 bei4,preparation; to prepare; to intend; to be about to; reserve (fund),,,,,
比,bi4,to associate with; to be near,,,,,
些,xie1,classifier indicating a small amount or small number greater than 1: some，a few，several,,,,,
起,qi3,to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix，to start; starting from (a time，place，price etc); classifier for occurrences or unpredictable events: case，instance; classifier for groups: batch，group,,,,,
发现,fa1 xian4,to find; to discover,,,,,
所,suo3,actually; place; classifier for houses，small buildings，institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4],,,,,
住,zhu4,to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness，steadiness，or coming to a halt),,,,,
正,zheng4,straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive,,,,,
放,fang4,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),,,,,
地,di4,earth; ground; field; place; land; CL:片[pian4],,,,,
进,jin4,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound,,,,,
新,xin1,new; newly; meso- (chemistry),,,,,
向,xiang4,variant of 向[xiang4]; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly,,,,,
之,zhi1,(possessive particle，literary equivalent of 的[de5]); him; her; it,,,,,
之前,zhi1 qian2,before; prior to; ago; previously; beforehand,,,,,
手,shou3,hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1]隻|只[zhi1],,,,,
却,que4,but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though,,,,,
成,cheng2,to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth,,,,,
月,yue4,moon; month; monthly; CL:個|个[ge4]輪|轮[lun2],,,,,
长,zhang3,chief; head; elder; to grow; to develop; to increase; to enhance,,,,,
世界,shi4 jie4,world; CL:個|个[ge4],,,,,
头,tou5,suffix for nouns,,,,,
完,wan2,to finish; to be over; whole; complete; entire,,,,,
变,bian4,to change; to become different; to transform; to vary; rebellion,,,,,
里面,li3 mian4,inside; interior; also pr. [li3 mian5],,,,,
每,mei3,each; every,,,,,
周,zhou1,week; weekly; variant of 周[zhou1],,,,,
另,ling4,other; another; separate; separately,,,,,
心,xin1,heart; mind; intention; center; core; CL:顆|颗[ke1]個|个[ge4],,,,,
花,hua1,variant of 花[hua1]; flower; blossom; also pr. [wei3],,,,,
动,dong4,(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 動詞|动词[dong4 ci2]，verb,,,,,
忙,mang2,busy; hurriedly; to hurry; to rush,,,,,
如此,ru2 ci3,in this way; so,,,,,
无法,wu2 fa3,unable; incapable,,,,,
睡,shui4,to sleep; to lie down,,,,,
连,lian2,to link; to join; to connect; continuously; in succession; including; (used with 也[ye3]，都[dou1] etc) even; company (military),,,,,
全,quan2,all; whole; entire; every; complete,,,,,
此,ci3,this; these,,,,,
水,shui3,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,,,,,
高,gao1,high; tall; above average; loud; your (honorific),,,,,
美,mei3,beautiful; very satisfactory; good; to beautify; to be pleased with oneself,,,,,
路,lu4,road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind,,,,,
四,si4,four; 4,,,,,
儿,r5,non-syllabic diminutive suffix; retroflex final,,,,,
